p11,p22,I1,I2
1,1,0,0
1,0.975,0,0
1,0.95,0,0
1,0.925,0,0
1,0.9,0,0
1,0.875,0,0
1,0.85,0.000401530078877306,0.00130669291375822
1,0.825,0.00207963401888545,0.00684014656549857
1,0.8,0.00361704784227177,0.0120647649627596
1,0.775,0.00501570941405975,0.017001228112803
1,0.75,0.00628298128260549,0.0216698119910749
1,0.725,0.00742837726193968,0.02608971241304
1,0.7,0.00846199412820492,0.0302788021470668
1,0.675,0.00939374977796165,0.0342535815186821
1,0.65,0.0102330227143931,0.0380292173114358
1,0.625,0.0109884979836711,0.0416196207873184
1,0.6,0.0116681210183755,0.0450375409087307
1,0.575,0.0122791075993227,0.0482946607598433
1,0.55,0.0128279820026352,0.0514016912583761
1,0.525,0.0133206280027,0.0543684593148241
1,0.5,0.0137623442962176,0.0572039892800882
0.975,1,0,0
0.975,0.975,0,0
0.975,0.95,0,0
0.975,0.925,0,0
0.975,0.9,0,0
0.975,0.875,0,0
0.975,0.85,0,0
0.975,0.825,0,0
0.975,0.8,0.000284690525955672,0.000807969166142741
0.975,0.775,0.00187244505365326,0.00541078850148165
0.975,0.75,0.00330037837250924,0.00970671227956783
0.975,0.725,0.00458437158266299,0.0137152241186807
0.975,0.7,0.00573893721454863,0.0174533228935681
0.975,0.675,0.0067771214391786,0.0209356873796599
0.975,0.65,0.00771053801822644,0.0241748025599557
0.975,0.625,0.00854945541083618,0.0271810449205076
0.975,0.6,0.0093028991163639,0.0299627236076467
0.975,0.575,0.00997875014745623,0.0325260728048232
0.975,0.55,0.0105838292906775,0.0348751882595149
0.975,0.525,0.0111239605607283,0.0370118973975535
0.975,0.5,0.0116040081803322,0.0389355475108492
0.95,1,0,0
0.95,0.975,0,0
0.95,0.95,0,0
0.95,0.925,0,0
0.95,0.9,0,0
0.95,0.875,0,0
0.95,0.85,0,0
0.95,0.825,0,0
0.95,0.8,0,0
0.95,0.775,0,0
0.95,0.75,0,0
0.95,0.725,0.00100744549533543,0.00263828347863993
0.95,0.7,0.00223973549350819,0.00595382197016792
0.95,0.675,0.00333391352891246,0.00898285872850635
0.95,0.65,0.0043033742122348,0.0117352887412547
0.95,0.625,0.00515926234355571,0.0142184731926867
0.95,0.6,0.00591072246999133,0.0164372071026495
0.95,0.575,0.00656506289124331,0.0183936259356635
0.95,0.55,0.00712784327317202,0.0200870392238008
0.95,0.525,0.00760288661613044,0.0215136754350729
0.95,0.5,0.00799220853123374,0.0226663165884643
0.925,1,0,0
0.925,0.975,0,0
0.925,0.95,0,0
0.925,0.925,0,0
0.925,0.9,0,0
0.925,0.875,0,0
0.925,0.85,0,0
0.925,0.825,0,0
0.925,0.8,0,0
0.925,0.775,0,0
0.925,0.75,0,0
0.925,0.725,0,0
0.925,0.7,0,0
0.925,0.675,0,0
0.925,0.65,0.000272246872612258,0.000659809647226893
0.925,0.625,0.00109625485053757,0.00267852230419138
0.925,0.6,0.00179152914364741,0.00440458990364977
0.925,0.575,0.00236416253941811,0.00583731506473976
0.925,0.55,0.00281770080219274,0.00697294216406451
0.925,0.525,0.00315309054103885,0.00780436153422103
0.925,0.5,0.00336848770000951,0.00832071882252314
0.9,1,0,0
0.9,0.975,0,0
0.9,0.95,0,0
0.9,0.925,0,0
0.9,0.9,0,0
0.9,0.875,0,0
0.9,0.85,0,0
0.9,0.825,0,0
0.9,0.8,0,0
0.9,0.775,0,0
0.9,0.75,0,0
0.9,0.725,0,0
0.9,0.7,0,0
0.9,0.675,0,0
0.9,0.65,0,0
0.9,0.625,0,0
0.9,0.6,0,0
0.9,0.575,0,0
0.9,0.55,0,0
0.9,0.525,0,0
0.9,0.5,0,0
0.875,1,0,0
0.875,0.975,0,0
0.875,0.95,0,0
0.875,0.925,0,0
0.875,0.9,0,0
0.875,0.875,0,0
0.875,0.85,0,0
0.875,0.825,0,0
0.875,0.8,0,0
0.875,0.775,0,0
0.875,0.75,0,0
0.875,0.725,0,0
0.875,0.7,0,0
0.875,0.675,0,0
0.875,0.65,0,0
0.875,0.625,0,0
0.875,0.6,0,0
0.875,0.575,0,0
0.875,0.55,0,0
0.875,0.525,0,0
0.875,0.5,0,0
0.85,1,0,0
0.85,0.975,0,0
0.85,0.95,0,0
0.85,0.925,0,0
0.85,0.9,0,0
0.85,0.875,0,0
0.85,0.85,0,0
0.85,0.825,0,0
0.85,0.8,0,0
0.85,0.775,0,0
0.85,0.75,0,0
0.85,0.725,0,0
0.85,0.7,0,0
0.85,0.675,0,0
0.85,0.65,0,0
0.85,0.625,0,0
0.85,0.6,0,0
0.85,0.575,0,0
0.85,0.55,0,0
0.85,0.525,0,0
0.85,0.5,0,0
0.825,1,0,0
0.825,0.975,0,0
0.825,0.95,0,0
0.825,0.925,0,0
0.825,0.9,0,0
0.825,0.875,0,0
0.825,0.85,0,0
0.825,0.825,0,0
0.825,0.8,0,0
0.825,0.775,0,0
0.825,0.75,0,0
0.825,0.725,0,0
0.825,0.7,0,0
0.825,0.675,0,0
0.825,0.65,0,0
0.825,0.625,0,0
0.825,0.6,0,0
0.825,0.575,0,0
0.825,0.55,0,0
0.825,0.525,0,0
0.825,0.5,0,0
0.8,1,0,0
0.8,0.975,0,0
0.8,0.95,0,0
0.8,0.925,0,0
0.8,0.9,0,0
0.8,0.875,0,0
0.8,0.85,0,0
0.8,0.825,0,0
0.8,0.8,0,0
0.8,0.775,0,0
0.8,0.75,0,0
0.8,0.725,0,0
0.8,0.7,0,0
0.8,0.675,0,0
0.8,0.65,0,0
0.8,0.625,0,0
0.8,0.6,0,0
0.8,0.575,0,0
0.8,0.55,0,0
0.8,0.525,0,0
0.8,0.5,0,0
0.775,1,0,0
0.775,0.975,0,0
0.775,0.95,0,0
0.775,0.925,0,0
0.775,0.9,0,0
0.775,0.875,0,0
0.775,0.85,0,0
0.775,0.825,0,0
0.775,0.8,0,0
0.775,0.775,0,0
0.775,0.75,0,0
0.775,0.725,0,0
0.775,0.7,0,0
0.775,0.675,0,0
0.775,0.65,0,0
0.775,0.625,0,0
0.775,0.6,0,0
0.775,0.575,0,0
0.775,0.55,0,0
0.775,0.525,0,0
0.775,0.5,0,0
0.75,1,0,0
0.75,0.975,0,0
0.75,0.95,0,0
0.75,0.925,0,0
0.75,0.9,0,0
0.75,0.875,0,0
0.75,0.85,0,0
0.75,0.825,0,0
0.75,0.8,0,0
0.75,0.775,0,0
0.75,0.75,0,0
0.75,0.725,0,0
0.75,0.7,0,0
0.75,0.675,0,0
0.75,0.65,0,0
0.75,0.625,0,0
0.75,0.6,0,0
0.75,0.575,0,0
0.75,0.55,0,0
0.75,0.525,0,0
0.75,0.5,0,0
0.725,1,0.00227734136277464,0.000931371245538689
0.725,0.975,0,0
0.725,0.95,0,0
0.725,0.925,0,0
0.725,0.9,0,0
0.725,0.875,0,0
0.725,0.85,0,0
0.725,0.825,0,0
0.725,0.8,0,0
0.725,0.775,0,0
0.725,0.75,0,0
0.725,0.725,0,0
0.725,0.7,0,0
0.725,0.675,0,0
0.725,0.65,0,0
0.725,0.625,0,0
0.725,0.6,0,0
0.725,0.575,0,0
